codice,nome,tipo,descrizione
P1,Café Leblanc,Ritrovo,Il leggendario covo dei Phantom Thieves dove si pianificano i colpi e si beve caffè eccellente masticando curry piccante.
P2,Clinica Medica Takemi,Negozio,La clinica della 'morte' dove farsi fare prescrizioni losche e medicine sperimentali per sopravvivere nei Palazzi.
P3,Lavanderia a gettoni,Servizio,Il posto perfetto per lavare l'armatura sporca trovata nei dungeon mentre si aspetta che la fortuna giri.
P4,Bagni Pubblici,Servizio,"Ottimi per aumentare il fascino nei giorni di pioggia, o per svenire dal caldo se si esagera col vapore."
P5,Negozio dell'usato Yumenoshima,Negozio,Dove comprare un computer rotto da riparare o vecchi dvd per sbloccare doti sociali segrete.
P6,Shujin Academy,Scuola,Prigione diurna degli studenti dove i professori lanciano gessetti con precisione millimetrica se non stai attento.
P7,Palazzo di Kamoshida,Palazzo,Un castello di perversione dove i Ladri Fantasma hanno risvegliato i loro Persona e preso a calci un prof viscido.
P8,Central Street,Strada Commerciale,"Il cuore caotico di Shibuya, pieno di studenti, volantini di lavoro part-time e loschi figuri."
P9,Untouchable (Airsoft Shop),Negozio,Un negozio di armi finte gestito da un ex yakuza che miracolosamente vende equipaggiamento letale per il Metaverso.
P10,Diner (Shibuya),Ristorazione,Dove studiare per ore ordinando solo un caffè e patatine fritte mentre fuori c'è la tempesta perfetta.
P11,Big Bang Burger,Ristorazione,Famoso per la sfida del burger gigante che mette a dura prova il fegato e la determinazione del protagonista.
P12,Arcade Gigolo,Intrattenimento,Sala giochi dove i bulli di Shibuya passano il tempo e si impara l'arte degli spari di precisione.
P13,Palestra,Servizio,Dove allenarsi duramente prendendo a pugni un sacco da boxe per aumentare gli HP massimi.
P14,Libreria Taiheido,Negozio,Fornitore ufficiale di libri che si leggono miracolosamente in metropolitana in un solo viaggio.
P15,Teikyu Building,Luogo di ritrovo,Il tetto della stazione di Shibuya dove la banda si riuniva prima di avere un covo vero e proprio.
P16,Stanza di Velluto,Speciale,Una prigione mistica blu dove un vecchio dal naso lungo ti costringe a fondere i tuoi Persona tramite ghigliottina.
P17,Mementos,Dungeon,"Il palazzo del subconscio collettivo di Tokyo, un labirinto di binari infiniti dove investire le ombre con la Morgana-Car."
P18,Palazzo di Kaneshiro,Palazzo,Una banca volante sopra Shibuya dove si combatte a colpi di portafoglio e si sconfiggono banchieri corrotti.
P19,Quartiere a Luci Rosse,Strada Commerciale,"Il lato nascosto di Shinjuku, pieno di bar affascinanti e indovine stravaganti."
P20,Bar Crossroads,Ritrovo,"Gestito da Lala-chan, dove fare il barista part-time per raccogliere pettegolezzi e aumentare la gentilezza."
P21,Tavolo di Chihaya,Servizio,Dove farsi leggere le carte da una cartomante truffaldina che in realtà possiede poteri divinatori assurdi.
P22,Fioraio di Shinjuku,Negozio,Ottimo per comprare fertilizzanti costosi per la pianta di casa che non muore mai.
P23,Cinema di Shinjuku,Intrattenimento,Ideale per guardare film trash degli anni '80 con i compagni di squadra per migliorare i legami.
P24,Maid Cafe,Ristorazione,Un posto ad Akihabara dove ordinare omelette con scritte carine ed essere serviti da maid impacciate.
P25,Retro Game Shop,Negozio,Fornitore di console vintage usate che richiedono un'abilità manuale fuori dal comune per essere riparate.
P26,Componenti elettronici,Negozio,Un vicolo cieco di Akihabara pieno di rottami utili solo per costruire grimaldelli ed esche.
P27,Sala Giochi Akihabara,Intrattenimento,"Il regno indiscusso del Re dei Giochi, un ragazzino che ti insegna a barare agli sparatutto."
P28,Penguin Sniper,Intrattenimento,Locale a Kichijoji dove giocare a freccette per potenziare il 'Baton Pass' o a biliardo per fare i fighi.
P29,Jazz Jin,Ritrovo,Un club sotterraneo dove bere cocktail analcolici ascoltando musica jazz dal vivo con i Confidenti.
P30,Tempio di Kichijoji,Luogo di Culto,"Dove meditare per liberare la mente, aumentare gli SP massimi e ignorare i messaggi sul telefono."
P31,Negozio di vestiti usati,Negozio,Dove scambiare i vestiti logori trovati nei Palazzi con punti da spendere in oggetti assurdi.
P32,Bottega della Carne,Negozio,Famosa per le crocchette fritte che ridanno pochissimi HP ma costano pochissimo.
P33,Museo d'Arte,Cultura,Il palcoscenico pubblico delle mostre d'arte del maestro Madarame prima del suo crollo mentale.
P34,Palazzo di Madarame,Palazzo,Un museo dorato pieno di quadri falsi e trappole laser dove si combatte contro un plagiatore seriale.
P35,Palazzo di Futaba,Palazzo,"Una gigantesca piramide nel deserto del senso di colpa, protetta da una Sfinge alata spaventosa."
P36,Palazzo di Okumura,Palazzo,Una fabbrica spaziale piena di robot aziendali pigri e scadenze temporali che fanno venire l'ansia.
P37,Tribunale di Tokyo,Istituzione,"Il baluardo della legge della procuratrice Sae Niijima, severo e apparentemente inattaccabile."
P38,Palazzo di Niijima,Palazzo,Un casinò sfarzoso dove si scommette la propria vita sulla ruota della roulette e si combatte truccando le carte.
P39,Dieta Nazionale,Istituzione,"Il palazzo del potere politico di Tokyo, severo fuori ma marcio dentro."
P40,Palazzo di Shido,Palazzo,"Una nave da crociera di lusso che naviga affondando una Tokyo sommersa, tana del boss finale politico."
P41,Cupola di Tokyo,Attrazione,Il grande stadio dove fare escursioni nei giorni liberi o assistere a eventi colossali.
P42,Parco Inokashira,Parco,Un parco tranquillo dove noleggiare un barchino a forma di cigno e parlare dei massimi sistemi con i Confidenti.
